,pyname,name,range
376,a_lfo_4_trigger_mode,A LFO 4 Trigger Mode,"(None, None, None)"
377,a_lfo_6_sustain,A LFO 6 Sustain,"(0.0, 100.0, 0.1)"
378,fx_a4_param_1,FX A4 Param 1,"(None, None, None)"
379,b_lfo_3_delay,B LFO 3 Delay,"(None, None, None)"
380,a_lfo_6_phase,A LFO 6 Phase,"(0.0, 100.0, 0.1)"
381,a_osc_2_retrigger,A Osc 2 Retrigger,"(False, True, 1)"
382,b_ring_modulation_1x2_route,B Ring Modulation 1x2 Route,"(None, None, None)"
383,b_lfo_6_trigger_mode,B LFO 6 Trigger Mode,"(None, None, None)"
384,b_scene_lfo_3_type,B Scene LFO 3 Type,"(None, None, None)"
385,a_osc_2_pitch,A Osc 2 Pitch,"(None, None, None)"
386,b_scene_lfo_2_rate,B Scene LFO 2 Rate,"(0.008, 512.0, None)"
387,b_osc_1_unison_voices,B Osc 1 Unison Voices,"(None, None, None)"
388,b_osc_1_octave,B Osc 1 Octave,"(-3.0, 3.0, 1.0)"
389,a_amp_eg_attack,A Amp EG Attack,"(None, None, None)"
390,b_lfo_2_sustain,B LFO 2 Sustain,"(0.0, 100.0, 0.1)"
391,fx_a1_param_8,FX A1 Param 8,"(None, None, None)"
392,fx_s2_param_3,FX S2 Param 3,"(None, None, None)"
393,fx_b2_param_9,FX B2 Param 9,"(None, None, None)"
394,a_send_fx_2_level,A Send FX 2 Level,"(-inf, 12.0, None)"
395,a_scene_lfo_5_rate,A Scene LFO 5 Rate,"(0.008, 512.0, None)"
396,b_highpass,B Highpass,"(6.88, 1046.5, None)"
397,fx_s4_param_2,FX S4 Param 2,"(None, None, None)"
398,b_lfo_1_trigger_mode,B LFO 1 Trigger Mode,"(None, None, None)"
399,b_scene_lfo_2_trigger_mode,B Scene LFO 2 Trigger Mode,"(None, None, None)"
400,fx_g2_param_12,FX G2 Param 12,"(None, None, None)"
401,fx_s1_param_11,FX S1 Param 11,"(None, None, None)"
402,a_lfo_1_attack,A LFO 1 Attack,"(None, None, None)"
403,fx_s3_fx_type,FX S3 FX Type,"(None, None, None)"
404,fx_s3_param_7,FX S3 Param 7,"(None, None, None)"
405,b_scene_lfo_3_rate,B Scene LFO 3 Rate,"(0.008, 512.0, None)"
406,a_osc_1_mute,A Osc 1 Mute,"(False, True, 1)"
407,fx_s1_param_8,FX S1 Param 8,"(None, None, None)"
408,a_scene_lfo_5_delay,A Scene LFO 5 Delay,"(None, None, None)"
409,fx_g2_param_5,FX G2 Param 5,"(None, None, None)"
410,a_ring_modulation_1x2_solo,A Ring Modulation 1x2 Solo,"(False, True, 1)"
411,a_amp_eg_release,A Amp EG Release,"(None, None, None)"
412,a_scene_lfo_3_hold,A Scene LFO 3 Hold,"(None, None, None)"
413,b_osc_1_mute,B Osc 1 Mute,"(False, True, 1)"
414,fx_disable,FX Disable,"(None, None, None)"
415,a_scene_lfo_2_delay,A Scene LFO 2 Delay,"(None, None, None)"
416,a_scene_lfo_2_sustain,A Scene LFO 2 Sustain,"(0.0, 100.0, 0.1)"
417,a_noise_color,A Noise Color,"(-100.0, 100.0, 0.2)"
418,b_scene_lfo_3_attack,B Scene LFO 3 Attack,"(None, None, None)"
419,fx_s3_param_2,FX S3 Param 2,"(None, None, None)"
420,b_scene_lfo_2_amplitude,B Scene LFO 2 Amplitude,"(0.0, 100.0, 0.1)"
421,a_osc_3_unison_detune,A Osc 3 Unison Detune,"(None, None, None)"
422,a_scene_lfo_1_decay,A Scene LFO 1 Decay,"(None, None, None)"
423,fx_b2_param_1,FX B2 Param 1,"(None, None, None)"
424,a_lfo_6_trigger_mode,A LFO 6 Trigger Mode,"(None, None, None)"
425,b_lfo_5_decay,B LFO 5 Decay,"(None, None, None)"
426,fx_b2_param_12,FX B2 Param 12,"(None, None, None)"
427,fx_a1_param_3,FX A1 Param 3,"(None, None, None)"
428,a_octave,A Octave,"(-3.0, 3.0, 1.0)"
429,b_scene_lfo_4_delay,B Scene LFO 4 Delay,"(None, None, None)"
430,a_scene_lfo_3_delay,A Scene LFO 3 Delay,"(None, None, None)"
431,fx_a4_param_10,FX A4 Param 10,"(None, None, None)"
432,b_lfo_4_rate,B LFO 4 Rate,"(0.008, 512.0, None)"
433,b_lfo_4_decay,B LFO 4 Decay,"(None, None, None)"
434,b_osc_drift,B Osc Drift,"(0.0, 100.0, 0.1)"
435,b_lfo_1_attack,B LFO 1 Attack,"(None, None, None)"
436,a_amp_eg_decay_shape,A Amp EG Decay Shape,"(None, None, None)"
437,fx_b3_param_9,FX B3 Param 9,"(None, None, None)"
438,fx_a1_param_9,FX A1 Param 9,"(None, None, None)"
439,a_osc_3_mute,A Osc 3 Mute,"(False, True, 1)"
440,split_point,Split Point,"(None, None, None)"
441,fx_a4_fx_type,FX A4 FX Type,"(None, None, None)"
442,a_lfo_1_delay,A LFO 1 Delay,"(None, None, None)"
443,a_scene_lfo_3_attack,A Scene LFO 3 Attack,"(None, None, None)"
444,a_lfo_1_decay,A LFO 1 Decay,"(None, None, None)"
445,b_lfo_2_delay,B LFO 2 Delay,"(None, None, None)"
446,fx_b2_param_4,FX B2 Param 4,"(None, None, None)"
447,b_lfo_4_sustain,B LFO 4 Sustain,"(0.0, 100.0, 0.1)"
448,b_scene_lfo_5_attack,B Scene LFO 5 Attack,"(None, None, None)"
449,a_filter_configuration,A Filter Configuration,"(None, None, None)"
450,a_ring_modulation_1x2_volume,A Ring Modulation 1x2 Volume,"(-inf, 0.0, None)"
451,a_lfo_4_deform,A LFO 4 Deform,"(-100.0, 100.0, 0.2)"
452,fx_s3_param_12,FX S3 Param 12,"(None, None, None)"
453,a_lfo_6_attack,A LFO 6 Attack,"(None, None, None)"
454,b_scene_lfo_6_rate,B Scene LFO 6 Rate,"(0.008, 512.0, None)"
455,a_scene_lfo_5_unipolar,A Scene LFO 5 Unipolar,"(False, True, 1)"
456,send_fx_2_return,Send FX 2 Return,"(-inf, 0.0, None)"
457,fx_s4_fx_type,FX S4 FX Type,"(None, None, None)"
458,fx_g3_param_10,FX G3 Param 10,"(None, None, None)"
459,fx_s2_param_5,FX S2 Param 5,"(None, None, None)"
460,character,Character,"(None, None, None)"
461,a_osc_1_width_1,A Osc 1 Width 1,"(0.0, 100.0, 0.1)"
462,a_osc_2_width_1,A Osc 2 Width 1,"(0.0, 100.0, 0.1)"
463,a_lfo_6_delay,A LFO 6 Delay,"(None, None, None)"
464,b_pan,B Pan,"(None, None, None)"
465,fx_g1_param_6,FX G1 Param 6,"(None, None, None)"
466,b_scene_lfo_4_phase,B Scene LFO 4 Phase,"(0.0, 100.0, 0.1)"
467,a_osc_1_retrigger,A Osc 1 Retrigger,"(False, True, 1)"
468,b_scene_lfo_5_decay,B Scene LFO 5 Decay,"(None, None, None)"
469,a_osc_3_route,A Osc 3 Route,"(None, None, None)"
470,fx_a2_param_1,FX A2 Param 1,"(None, None, None)"
471,b_osc_2_pitch,B Osc 2 Pitch,"(None, None, None)"
472,b_osc_2_sub_mix,B Osc 2 Sub Mix,"(0.0, 100.0, 0.1)"
473,fx_b1_param_1,FX B1 Param 1,"(None, None, None)"
474,fx_b2_param_6,FX B2 Param 6,"(None, None, None)"
475,fx_s1_param_6,FX S1 Param 6,"(None, None, None)"
476,a_lfo_2_release,A LFO 2 Release,"(None, None, None)"
477,polyphony_limit,Polyphony Limit,"(2.0, 64.0, 1.0)"
478,fx_b1_param_7,FX B1 Param 7,"(None, None, None)"
479,fx_s2_fx_type,FX S2 FX Type,"(None, None, None)"
480,fx_g4_param_11,FX G4 Param 11,"(None, None, None)"
481,fx_s2_param_9,FX S2 Param 9,"(None, None, None)"
482,a_scene_lfo_1_rate,A Scene LFO 1 Rate,"(0.008, 512.0, None)"
483,b_scene_lfo_2_sustain,B Scene LFO 2 Sustain,"(0.0, 100.0, 0.1)"
484,fx_s4_param_5,FX S4 Param 5,"(None, None, None)"
485,fx_s1_fx_type,FX S1 FX Type,"(None, None, None)"
486,b_filter_eg_attack_shape,B Filter EG Attack Shape,"(None, None, None)"
487,b_osc_1_sync,B Osc 1 Sync,"(None, None, None)"
488,b_noise_color,B Noise Color,"(-100.0, 100.0, 0.2)"
489,fx_b3_param_1,FX B3 Param 1,"(None, None, None)"
490,a_osc_1_sub_mix,A Osc 1 Sub Mix,"(0.0, 100.0, 0.1)"
491,b_lfo_5_release,B LFO 5 Release,"(None, None, None)"
492,a_osc_2_sync,A Osc 2 Sync,"(None, None, None)"
493,b_noise_solo,B Noise Solo,"(False, True, 1)"
494,b_send_fx_1_level,B Send FX 1 Level,"(-inf, 12.0, None)"
495,b_osc_3_octave,B Osc 3 Octave,"(-3.0, 3.0, 1.0)"
496,b_amp_eg_release,B Amp EG Release,"(None, None, None)"
497,a_filter_eg_envelope_mode,A Filter EG Envelope Mode,"(None, None, None)"
498,fx_a2_param_6,FX A2 Param 6,"(None, None, None)"
499,b_scene_lfo_6_delay,B Scene LFO 6 Delay,"(None, None, None)"
500,a_send_fx_4_level,A Send FX 4 Level,"(-inf, 12.0, None)"
501,b_scene_lfo_2_type,B Scene LFO 2 Type,"(None, None, None)"
502,fx_s4_param_11,FX S4 Param 11,"(None, None, None)"
503,fx_b4_fx_type,FX B4 FX Type,"(None, None, None)"
504,b_ring_modulation_1x2_solo,B Ring Modulation 1x2 Solo,"(False, True, 1)"
505,a_scene_lfo_6_trigger_mode,A Scene LFO 6 Trigger Mode,"(None, None, None)"
506,fx_s1_param_1,FX S1 Param 1,"(None, None, None)"
507,b_lfo_2_trigger_mode,B LFO 2 Trigger Mode,"(None, None, None)"
508,b_lfo_3_type,B LFO 3 Type,"(None, None, None)"
509,b_lfo_3_deform,B LFO 3 Deform,"(-100.0, 100.0, 0.2)"
510,b_lfo_3_phase,B LFO 3 Phase,"(0.0, 100.0, 0.1)"
511,b_octave,B Octave,"(-3.0, 3.0, 1.0)"
512,fx_g1_param_9,FX G1 Param 9,"(None, None, None)"
513,a_lfo_3_phase,A LFO 3 Phase,"(0.0, 100.0, 0.1)"
514,fx_b2_param_10,FX B2 Param 10,"(None, None, None)"
515,a_scene_lfo_4_hold,A Scene LFO 4 Hold,"(None, None, None)"
516,fx_g2_param_11,FX G2 Param 11,"(None, None, None)"
517,a_filter_eg_attack_shape,A Filter EG Attack Shape,"(None, None, None)"
518,fx_b1_fx_type,FX B1 FX Type,"(None, None, None)"
519,fx_b4_param_5,FX B4 Param 5,"(None, None, None)"
520,a_lfo_5_decay,A LFO 5 Decay,"(None, None, None)"
521,a_ring_modulation_2x3_mute,A Ring Modulation 2x3 Mute,"(False, True, 1)"
522,b_osc_3_width_1,B Osc 3 Width 1,"(0.0, 100.0, 0.1)"
523,a_osc_1_sync,A Osc 1 Sync,"(None, None, None)"
524,m4,M4: -,"(0.0, 0.0, None)"
525,a_osc_3_sub_mix,A Osc 3 Sub Mix,"(0.0, 100.0, 0.1)"
526,b_lfo_3_unipolar,B LFO 3 Unipolar,"(False, True, 1)"
527,send_fx_1_return,Send FX 1 Return,"(-inf, 0.0, None)"
528,b_scene_lfo_1_deform,B Scene LFO 1 Deform,"(-100.0, 100.0, 0.2)"
529,a_lfo_3_sustain,A LFO 3 Sustain,"(0.0, 100.0, 0.1)"
530,b_scene_lfo_2_delay,B Scene LFO 2 Delay,"(None, None, None)"
531,b_scene_lfo_4_type,B Scene LFO 4 Type,"(None, None, None)"
532,b_lfo_5_hold,B LFO 5 Hold,"(None, None, None)"
533,a_lfo_2_phase,A LFO 2 Phase,"(0.0, 100.0, 0.1)"
534,fx_b2_param_8,FX B2 Param 8,"(None, None, None)"
535,b_osc_1_keytrack,B Osc 1 Keytrack,"(False, True, 1)"
536,b_lfo_5_rate,B LFO 5 Rate,"(0.008, 512.0, None)"
537,b_lfo_5_unipolar,B LFO 5 Unipolar,"(False, True, 1)"
538,fx_g2_param_9,FX G2 Param 9,"(None, None, None)"
539,fx_g4_param_10,FX G4 Param 10,"(None, None, None)"
540,fx_g3_param_4,FX G3 Param 4,"(None, None, None)"
541,b_scene_lfo_6_unipolar,B Scene LFO 6 Unipolar,"(False, True, 1)"
542,a_scene_lfo_4_phase,A Scene LFO 4 Phase,"(0.0, 100.0, 0.1)"
543,fx_a3_param_9,FX A3 Param 9,"(None, None, None)"
544,a_lfo_5_attack,A LFO 5 Attack,"(None, None, None)"
545,fx_b3_param_3,FX B3 Param 3,"(None, None, None)"
546,b_osc_1_route,B Osc 1 Route,"(None, None, None)"
547,fx_g1_fx_type,FX G1 FX Type,"(None, None, None)"
548,fx_g3_param_1,FX G3 Param 1,"(None, None, None)"
549,a_lfo_2_attack,A LFO 2 Attack,"(None, None, None)"
550,b_osc_3_solo,B Osc 3 Solo,"(False, True, 1)"
551,b_lfo_4_type,B LFO 4 Type,"(None, None, None)"
552,fx_g4_param_2,FX G4 Param 2,"(None, None, None)"
553,a_scene_lfo_4_unipolar,A Scene LFO 4 Unipolar,"(False, True, 1)"
554,b_pitch_bend_down_range,B Pitch Bend Down Range,"(None, None, None)"
555,b_osc_2_width_2,B Osc 2 Width 2,"(0.0, 100.0, 0.1)"
556,fx_g1_param_3,FX G1 Param 3,"(None, None, None)"
557,a_scene_lfo_2_type,A Scene LFO 2 Type,"(None, None, None)"
558,b_lfo_4_release,B LFO 4 Release,"(None, None, None)"
559,a_lfo_1_phase,A LFO 1 Phase,"(0.0, 100.0, 0.1)"
560,a_lfo_5_rate,A LFO 5 Rate,"(0.008, 512.0, None)"
561,fx_g3_param_9,FX G3 Param 9,"(None, None, None)"
562,b_velocity_vca_gain,B Velocity > VCA Gain,"(-48.0, 0.0, None)"
563,b_lfo_1_sustain,B LFO 1 Sustain,"(0.0, 100.0, 0.1)"
564,a_filter_2_cutoff,A Filter 2 Cutoff,"(13.75, 25087.71, None)"
565,b_scene_lfo_3_phase,B Scene LFO 3 Phase,"(0.0, 100.0, 0.1)"
566,b_osc_2_mute,B Osc 2 Mute,"(False, True, 1)"
567,a_ring_modulation_1x2_route,A Ring Modulation 1x2 Route,"(None, None, None)"
568,fx_a2_param_2,FX A2 Param 2,"(None, None, None)"
569,a_lfo_3_unipolar,A LFO 3 Unipolar,"(False, True, 1)"
570,a_scene_lfo_3_sustain,A Scene LFO 3 Sustain,"(0.0, 100.0, 0.1)"
571,a_filter_eg_attack,A Filter EG Attack,"(None, None, None)"
572,b_scene_lfo_1_unipolar,B Scene LFO 1 Unipolar,"(False, True, 1)"
573,a_osc_2_octave,A Osc 2 Octave,"(-3.0, 3.0, 1.0)"
574,b_filter_eg_release_shape,B Filter EG Release Shape,"(None, None, None)"
575,fx_b4_param_10,FX B4 Param 10,"(None, None, None)"
576,a_lfo_1_trigger_mode,A LFO 1 Trigger Mode,"(None, None, None)"
577,a_lfo_2_type,A LFO 2 Type,"(None, None, None)"
578,b_filter_2_subtype,B Filter 2 Subtype,"(None, None, None)"
579,b_scene_lfo_5_amplitude,B Scene LFO 5 Amplitude,"(0.0, 100.0, 0.1)"
580,a_scene_lfo_6_rate,A Scene LFO 6 Rate,"(0.008, 512.0, None)"
581,a_scene_lfo_6_deform,A Scene LFO 6 Deform,"(-100.0, 100.0, 0.2)"
582,a_osc_2_type,A Osc 2 Type,"(None, None, None)"
583,b_filter_2_resonance,B Filter 2 Resonance,"(0.0, 100.0, 0.1)"
584,b_scene_lfo_4_trigger_mode,B Scene LFO 4 Trigger Mode,"(None, None, None)"
585,b_filter_eg_envelope_mode,B Filter EG Envelope Mode,"(None, None, None)"
586,a_lfo_6_amplitude,A LFO 6 Amplitude,"(0.0, 100.0, 0.1)"
587,a_scene_lfo_3_amplitude,A Scene LFO 3 Amplitude,"(0.0, 100.0, 0.1)"
588,b_play_mode,B Play Mode,"(None, None, None)"
589,b_scene_lfo_3_amplitude,B Scene LFO 3 Amplitude,"(0.0, 100.0, 0.1)"
590,b_lfo_6_sustain,B LFO 6 Sustain,"(0.0, 100.0, 0.1)"
591,a_lfo_5_hold,A LFO 5 Hold,"(None, None, None)"
592,a_lfo_5_unipolar,A LFO 5 Unipolar,"(False, True, 1)"
593,a_scene_lfo_1_release,A Scene LFO 1 Release,"(None, None, None)"
594,b_lfo_2_attack,B LFO 2 Attack,"(None, None, None)"
595,b_scene_lfo_2_attack,B Scene LFO 2 Attack,"(None, None, None)"
596,a_highpass,A Highpass,"(6.88, 1046.5, None)"
597,a_scene_lfo_1_deform,A Scene LFO 1 Deform,"(-100.0, 100.0, 0.2)"
598,a_osc_3_keytrack,A Osc 3 Keytrack,"(False, True, 1)"
599,a_width,A Width,"(-100.0, 100.0, 0.2)"
600,a_lfo_2_trigger_mode,A LFO 2 Trigger Mode,"(None, None, None)"
601,a_scene_lfo_3_release,A Scene LFO 3 Release,"(None, None, None)"
602,b_fm_routing,B FM Routing,"(None, None, None)"
603,b_lfo_2_amplitude,B LFO 2 Amplitude,"(0.0, 100.0, 0.1)"
604,b_lfo_5_type,B LFO 5 Type,"(None, None, None)"
605,fx_s4_param_12,FX S4 Param 12,"(None, None, None)"
606,fx_g4_param_9,FX G4 Param 9,"(None, None, None)"
607,b_scene_lfo_3_sustain,B Scene LFO 3 Sustain,"(0.0, 100.0, 0.1)"
608,a_osc_1_pitch,A Osc 1 Pitch,"(None, None, None)"
609,fx_s2_param_4,FX S2 Param 4,"(None, None, None)"
610,a_filter_2_offset_mode,A Filter 2 Offset Mode,"(False, True, 1)"
611,fx_a4_param_7,FX A4 Param 7,"(None, None, None)"
612,b_scene_lfo_3_trigger_mode,B Scene LFO 3 Trigger Mode,"(None, None, None)"
613,fx_g1_param_5,FX G1 Param 5,"(None, None, None)"
614,fx_b3_param_11,FX B3 Param 11,"(None, None, None)"
615,m3,M3: -,"(0.0, 0.0, None)"
616,a_filter_1_resonance,A Filter 1 Resonance,"(0.0, 100.0, 0.1)"
617,fx_g3_param_5,FX G3 Param 5,"(None, None, None)"
618,a_filter_eg_release_shape,A Filter EG Release Shape,"(None, None, None)"
619,b_pitch_bend_up_range,B Pitch Bend Up Range,"(None, None, None)"
620,fx_b1_param_4,FX B1 Param 4,"(None, None, None)"
621,a_scene_lfo_5_sustain,A Scene LFO 5 Sustain,"(0.0, 100.0, 0.1)"
622,b_osc_2_route,B Osc 2 Route,"(None, None, None)"
623,b_send_fx_2_level,B Send FX 2 Level,"(-inf, 12.0, None)"
624,b_osc_3_unison_detune,B Osc 3 Unison Detune,"(None, None, None)"
625,a_noise_mute,A Noise Mute,"(False, True, 1)"
626,fx_s2_param_10,FX S2 Param 10,"(None, None, None)"
627,b_lfo_3_attack,B LFO 3 Attack,"(None, None, None)"
628,b_send_fx_3_level,B Send FX 3 Level,"(-inf, 12.0, None)"
629,b_osc_3_width_2,B Osc 3 Width 2,"(0.0, 100.0, 0.1)"
630,fx_b2_fx_type,FX B2 FX Type,"(None, None, None)"
631,b_osc_3_pitch,B Osc 3 Pitch,"(None, None, None)"
632,a_lfo_5_sustain,A LFO 5 Sustain,"(0.0, 100.0, 0.1)"
633,a_filter_eg_decay_shape,A Filter EG Decay Shape,"(None, None, None)"
634,b_filter_1_cutoff,B Filter 1 Cutoff,"(13.75, 25087.71, None)"
635,b_scene_lfo_4_amplitude,B Scene LFO 4 Amplitude,"(0.0, 100.0, 0.1)"
636,fx_g1_param_2,FX G1 Param 2,"(None, None, None)"
637,fx_g3_param_12,FX G3 Param 12,"(None, None, None)"
638,fx_b4_param_6,FX B4 Param 6,"(None, None, None)"
639,b_noise_mute,B Noise Mute,"(False, True, 1)"
640,b_lfo_5_amplitude,B LFO 5 Amplitude,"(0.0, 100.0, 0.1)"
641,a_scene_lfo_1_sustain,A Scene LFO 1 Sustain,"(0.0, 100.0, 0.1)"
642,a_keytrack_root_key,A Keytrack Root Key,"(None, None, None)"
643,fx_g3_param_6,FX G3 Param 6,"(None, None, None)"
644,a_send_fx_1_level,A Send FX 1 Level,"(-inf, 12.0, None)"
645,a_osc_3_solo,A Osc 3 Solo,"(False, True, 1)"
646,fx_g4_param_3,FX G4 Param 3,"(None, None, None)"
647,b_scene_lfo_2_phase,B Scene LFO 2 Phase,"(0.0, 100.0, 0.1)"
648,a_play_mode,A Play Mode,"(None, None, None)"
649,a_scene_lfo_4_decay,A Scene LFO 4 Decay,"(None, None, None)"
650,fx_a1_param_4,FX A1 Param 4,"(None, None, None)"
651,fx_g4_param_5,FX G4 Param 5,"(None, None, None)"
652,fx_s4_param_8,FX S4 Param 8,"(None, None, None)"
653,a_scene_lfo_6_decay,A Scene LFO 6 Decay,"(None, None, None)"
654,a_filter_1_keytrack,A Filter 1 Keytrack,"(-100.0, 100.0, 0.2)"
655,fx_g3_param_11,FX G3 Param 11,"(None, None, None)"
656,b_lfo_1_unipolar,B LFO 1 Unipolar,"(False, True, 1)"
657,b_osc_1_retrigger,B Osc 1 Retrigger,"(False, True, 1)"
658,b_scene_lfo_1_release,B Scene LFO 1 Release,"(None, None, None)"
659,b_lfo_3_trigger_mode,B LFO 3 Trigger Mode,"(None, None, None)"
660,fx_s2_param_8,FX S2 Param 8,"(None, None, None)"
661,b_lfo_3_amplitude,B LFO 3 Amplitude,"(0.0, 100.0, 0.1)"
662,b_lfo_3_release,B LFO 3 Release,"(None, None, None)"
663,a_lfo_4_release,A LFO 4 Release,"(None, None, None)"
664,fx_s4_param_4,FX S4 Param 4,"(None, None, None)"
665,m2,M2: -,"(0.0, 0.0, None)"
666,b_scene_lfo_6_release,B Scene LFO 6 Release,"(None, None, None)"
667,b_scene_lfo_4_sustain,B Scene LFO 4 Sustain,"(0.0, 100.0, 0.1)"
668,b_filter_2_feg_mod_amount,B Filter 2 FEG Mod Amount,"(None, None, None)"
669,a_osc_1_volume,A Osc 1 Volume,"(-inf, 0.0, None)"
670,b_osc_3_type,B Osc 3 Type,"(None, None, None)"
671,a_scene_lfo_1_attack,A Scene LFO 1 Attack,"(None, None, None)"
672,a_scene_lfo_5_trigger_mode,A Scene LFO 5 Trigger Mode,"(None, None, None)"
673,a_lfo_2_delay,A LFO 2 Delay,"(None, None, None)"
674,b_osc_2_octave,B Osc 2 Octave,"(-3.0, 3.0, 1.0)"
675,b_lfo_6_amplitude,B LFO 6 Amplitude,"(0.0, 100.0, 0.1)"
676,b_scene_lfo_4_deform,B Scene LFO 4 Deform,"(-100.0, 100.0, 0.2)"
677,fx_a3_param_5,FX A3 Param 5,"(None, None, None)"
678,a_lfo_1_amplitude,A LFO 1 Amplitude,"(0.0, 100.0, 0.1)"
679,b_lfo_4_trigger_mode,B LFO 4 Trigger Mode,"(None, None, None)"
680,fx_g1_param_7,FX G1 Param 7,"(None, None, None)"
681,fx_a2_param_7,FX A2 Param 7,"(None, None, None)"
682,fx_a4_param_2,FX A4 Param 2,"(None, None, None)"
683,b_ring_modulation_2x3_route,B Ring Modulation 2x3 Route,"(None, None, None)"
684,fx_b4_param_4,FX B4 Param 4,"(None, None, None)"
685,a_osc_1_keytrack,A Osc 1 Keytrack,"(False, True, 1)"
686,a_osc_2_sub_mix,A Osc 2 Sub Mix,"(0.0, 100.0, 0.1)"
687,a_scene_lfo_3_deform,A Scene LFO 3 Deform,"(-100.0, 100.0, 0.2)"
688,a_lfo_4_type,A LFO 4 Type,"(None, None, None)"
689,a_scene_lfo_4_type,A Scene LFO 4 Type,"(None, None, None)"
690,b_filter_eg_sustain,B Filter EG Sustain,"(0.0, 100.0, 0.1)"
691,a_scene_lfo_2_phase,A Scene LFO 2 Phase,"(0.0, 100.0, 0.1)"
692,a_scene_lfo_1_delay,A Scene LFO 1 Delay,"(None, None, None)"
693,b_scene_lfo_5_delay,B Scene LFO 5 Delay,"(None, None, None)"
694,fx_a3_param_8,FX A3 Param 8,"(None, None, None)"
695,m6,M6: -,"(0.0, 0.0, None)"
696,fx_s2_param_7,FX S2 Param 7,"(None, None, None)"
697,b_osc_3_route,B Osc 3 Route,"(None, None, None)"
698,b_lfo_4_attack,B LFO 4 Attack,"(None, None, None)"
699,fx_g3_param_7,FX G3 Param 7,"(None, None, None)"
700,fx_b1_param_8,FX B1 Param 8,"(None, None, None)"
701,fx_g2_param_2,FX G2 Param 2,"(None, None, None)"
702,a_lfo_5_deform,A LFO 5 Deform,"(-100.0, 100.0, 0.2)"
703,a_scene_lfo_4_deform,A Scene LFO 4 Deform,"(-100.0, 100.0, 0.2)"
704,a_osc_2_solo,A Osc 2 Solo,"(False, True, 1)"
705,a_lfo_4_unipolar,A LFO 4 Unipolar,"(False, True, 1)"
706,a_osc_1_octave,A Osc 1 Octave,"(-3.0, 3.0, 1.0)"
707,a_lfo_1_type,A LFO 1 Type,"(None, None, None)"
708,fx_a1_param_6,FX A1 Param 6,"(None, None, None)"
709,a_scene_lfo_5_hold,A Scene LFO 5 Hold,"(None, None, None)"
710,b_lfo_4_amplitude,B LFO 4 Amplitude,"(0.0, 100.0, 0.1)"
711,a_ring_modulation_2x3_solo,A Ring Modulation 2x3 Solo,"(False, True, 1)"
712,b_volume,B Volume,"(-inf, 0.0, None)"
713,fx_s1_param_5,FX S1 Param 5,"(None, None, None)"
714,fx_a2_param_3,FX A2 Param 3,"(None, None, None)"
715,b_ring_modulation_2x3_volume,B Ring Modulation 2x3 Volume,"(-inf, 0.0, None)"
716,b_filter_2_type,B Filter 2 Type,"(None, None, None)"
717,b_scene_lfo_2_deform,B Scene LFO 2 Deform,"(-100.0, 100.0, 0.2)"
718,b_scene_lfo_6_deform,B Scene LFO 6 Deform,"(-100.0, 100.0, 0.2)"
719,fx_a1_param_12,FX A1 Param 12,"(None, None, None)"
720,fx_a4_param_11,FX A4 Param 11,"(None, None, None)"
721,fx_b3_param_5,FX B3 Param 5,"(None, None, None)"
722,b_osc_2_volume,B Osc 2 Volume,"(-inf, 0.0, None)"
723,send_fx_3_return,Send FX 3 Return,"(-inf, 0.0, None)"
724,a_filter_2_type,A Filter 2 Type,"(None, None, None)"
725,b_osc_2_width_1,B Osc 2 Width 1,"(0.0, 100.0, 0.1)"
726,b_osc_2_solo,B Osc 2 Solo,"(False, True, 1)"
727,a_lfo_2_amplitude,A LFO 2 Amplitude,"(0.0, 100.0, 0.1)"
728,a_lfo_2_unipolar,A LFO 2 Unipolar,"(False, True, 1)"
729,fx_g3_param_3,FX G3 Param 3,"(None, None, None)"
730,a_amp_eg_envelope_mode,A Amp EG Envelope Mode,"(None, None, None)"
731,fx_s1_param_4,FX S1 Param 4,"(None, None, None)"
732,a_lfo_3_type,A LFO 3 Type,"(None, None, None)"
733,a_scene_lfo_2_release,A Scene LFO 2 Release,"(None, None, None)"
734,b_ring_modulation_2x3_mute,B Ring Modulation 2x3 Mute,"(False, True, 1)"
735,b_lfo_2_unipolar,B LFO 2 Unipolar,"(False, True, 1)"
736,b_scene_lfo_1_sustain,B Scene LFO 1 Sustain,"(0.0, 100.0, 0.1)"
737,b_scene_lfo_3_release,B Scene LFO 3 Release,"(None, None, None)"
738,a_scene_lfo_1_unipolar,A Scene LFO 1 Unipolar,"(False, True, 1)"
739,fx_g1_param_12,FX G1 Param 12,"(None, None, None)"
740,a_scene_lfo_6_sustain,A Scene LFO 6 Sustain,"(0.0, 100.0, 0.1)"
741,b_vca_gain,B VCA Gain,"(-48.0, 48.0, None)"
742,a_lfo_4_amplitude,A LFO 4 Amplitude,"(0.0, 100.0, 0.1)"
743,b_osc_2_unison_detune,B Osc 2 Unison Detune,"(None, None, None)"
744,a_lfo_1_deform,A LFO 1 Deform,"(-100.0, 100.0, 0.2)"
745,b_scene_lfo_1_rate,B Scene LFO 1 Rate,"(0.008, 512.0, None)"
746,b_scene_lfo_1_trigger_mode,B Scene LFO 1 Trigger Mode,"(None, None, None)"
747,b_osc_2_type,B Osc 2 Type,"(None, None, None)"
748,a_osc_1_shape,A Osc 1 Shape,"(-100.0, 100.0, 0.2)"
