,pyname,name,range
86,a_scene_lfo_5_deform,A Scene LFO 5 Deform,"(-100.0, 100.0, 0.2)"
87,b_filter_1_resonance,B Filter 1 Resonance,"(0.0, 100.0, 0.1)"
88,fx_s2_param_12,FX S2 Param 12,"(None, None, None)"
89,m8,M8: -,"(0.0, 0.0, None)"
90,b_lfo_1_deform,B LFO 1 Deform,"(-100.0, 100.0, 0.2)"
91,b_scene_lfo_2_unipolar,B Scene LFO 2 Unipolar,"(False, True, 1)"
92,a_scene_lfo_5_decay,A Scene LFO 5 Decay,"(None, None, None)"
93,fx_a3_param_10,FX A3 Param 10,"(None, None, None)"
94,a_filter_1_feg_mod_amount,A Filter 1 FEG Mod Amount,"(None, None, None)"
95,a_pre_filter_gain,A Pre-Filter Gain,"(-48.0, 48.0, None)"
96,a_amp_eg_release_shape,A Amp EG Release Shape,"(None, None, None)"
97,a_fm_routing,A FM Routing,"(None, None, None)"
98,a_scene_lfo_4_release,A Scene LFO 4 Release,"(None, None, None)"
99,a_scene_lfo_6_delay,A Scene LFO 6 Delay,"(None, None, None)"
100,b_lfo_1_delay,B LFO 1 Delay,"(None, None, None)"
101,b_scene_lfo_2_hold,B Scene LFO 2 Hold,"(None, None, None)"
102,b_scene_lfo_1_attack,B Scene LFO 1 Attack,"(None, None, None)"
103,a_lfo_5_trigger_mode,A LFO 5 Trigger Mode,"(None, None, None)"
104,b_waveshaper_type,B Waveshaper Type,"(None, None, None)"
105,b_width,B Width,"(-100.0, 100.0, 0.2)"
106,a_scene_lfo_1_type,A Scene LFO 1 Type,"(None, None, None)"
107,a_scene_lfo_6_release,A Scene LFO 6 Release,"(None, None, None)"
108,fx_a4_param_5,FX A4 Param 5,"(None, None, None)"
109,b_lfo_6_deform,B LFO 6 Deform,"(-100.0, 100.0, 0.2)"
110,a_lfo_1_release,A LFO 1 Release,"(None, None, None)"
111,a_scene_lfo_2_hold,A Scene LFO 2 Hold,"(None, None, None)"
112,b_lfo_1_amplitude,B LFO 1 Amplitude,"(0.0, 100.0, 0.1)"
113,a_send_fx_3_level,A Send FX 3 Level,"(-inf, 12.0, None)"
114,m1,M1: -,"(0.0, 0.0, None)"
115,b_osc_3_sub_mix,B Osc 3 Sub Mix,"(0.0, 100.0, 0.1)"
116,b_scene_lfo_1_phase,B Scene LFO 1 Phase,"(0.0, 100.0, 0.1)"
117,a_lfo_2_hold,A LFO 2 Hold,"(None, None, None)"
118,a_lfo_3_trigger_mode,A LFO 3 Trigger Mode,"(None, None, None)"
119,send_fx_4_return,Send FX 4 Return,"(-inf, 0.0, None)"
120,fx_a1_param_10,FX A1 Param 10,"(None, None, None)"
121,b_lfo_1_type,B LFO 1 Type,"(None, None, None)"
122,fx_g1_param_4,FX G1 Param 4,"(None, None, None)"
123,a_filter_eg_sustain,A Filter EG Sustain,"(0.0, 100.0, 0.1)"
124,b_waveshaper_drive,B Waveshaper Drive,"(-24.0, 24.0, None)"
125,b_link_resonance,B Link Resonance,"(False, True, 1)"
126,b_osc_3_volume,B Osc 3 Volume,"(-inf, 0.0, None)"
127,b_lfo_3_decay,B LFO 3 Decay,"(None, None, None)"
128,fx_a2_param_12,FX A2 Param 12,"(None, None, None)"
129,b_scene_lfo_5_type,B Scene LFO 5 Type,"(None, None, None)"
130,a_osc_2_shape,A Osc 2 Shape,"(-100.0, 100.0, 0.2)"
131,a_lfo_2_sustain,A LFO 2 Sustain,"(0.0, 100.0, 0.1)"
132,b_lfo_4_unipolar,B LFO 4 Unipolar,"(False, True, 1)"
133,b_scene_lfo_4_decay,B Scene LFO 4 Decay,"(None, None, None)"
134,b_scene_lfo_5_sustain,B Scene LFO 5 Sustain,"(0.0, 100.0, 0.1)"
135,a_scene_lfo_3_decay,A Scene LFO 3 Decay,"(None, None, None)"
136,a_filter_2_feg_mod_amount,A Filter 2 FEG Mod Amount,"(None, None, None)"
137,b_keytrack_root_key,B Keytrack Root Key,"(None, None, None)"
138,b_lfo_1_hold,B LFO 1 Hold,"(None, None, None)"
139,b_osc_3_shape,B Osc 3 Shape,"(-100.0, 100.0, 0.2)"
140,b_amp_eg_release_shape,B Amp EG Release Shape,"(None, None, None)"
141,fx_g4_param_7,FX G4 Param 7,"(None, None, None)"
142,b_filter_eg_decay,B Filter EG Decay,"(None, None, None)"
143,fx_b4_param_12,FX B4 Param 12,"(None, None, None)"
144,b_osc_3_unison_voices,B Osc 3 Unison Voices,"(None, None, None)"
145,a_lfo_3_attack,A LFO 3 Attack,"(None, None, None)"
146,a_osc_2_volume,A Osc 2 Volume,"(-inf, 0.0, None)"
147,a_ring_modulation_2x3_volume,A Ring Modulation 2x3 Volume,"(-inf, 0.0, None)"
148,a_filter_eg_decay,A Filter EG Decay,"(None, None, None)"
149,fx_s3_param_8,FX S3 Param 8,"(None, None, None)"
150,fx_b1_param_6,FX B1 Param 6,"(None, None, None)"
151,b_filter_1_subtype,B Filter 1 Subtype,"(None, None, None)"
152,b_osc_1_solo,B Osc 1 Solo,"(False, True, 1)"
153,a_volume,A Volume,"(-inf, 0.0, None)"
154,a_scene_lfo_2_rate,A Scene LFO 2 Rate,"(0.008, 512.0, None)"
155,a_lfo_6_hold,A LFO 6 Hold,"(None, None, None)"
156,fx_b3_param_7,FX B3 Param 7,"(None, None, None)"
157,b_osc_1_pitch,B Osc 1 Pitch,"(None, None, None)"
158,a_scene_lfo_3_type,A Scene LFO 3 Type,"(None, None, None)"
159,b_scene_lfo_6_hold,B Scene LFO 6 Hold,"(None, None, None)"
160,fx_g4_param_6,FX G4 Param 6,"(None, None, None)"
161,a_lfo_2_decay,A LFO 2 Decay,"(None, None, None)"
162,fx_b1_param_11,FX B1 Param 11,"(None, None, None)"
163,a_pitch_bend_down_range,A Pitch Bend Down Range,"(None, None, None)"
164,b_amp_eg_sustain,B Amp EG Sustain,"(0.0, 100.0, 0.1)"
165,b_scene_lfo_6_sustain,B Scene LFO 6 Sustain,"(0.0, 100.0, 0.1)"
166,fx_b4_param_2,FX B4 Param 2,"(None, None, None)"
167,a_osc_3_octave,A Osc 3 Octave,"(-3.0, 3.0, 1.0)"
168,m5,M5: -,"(0.0, 0.0, None)"
169,fx_a1_param_11,FX A1 Param 11,"(None, None, None)"
170,a_vca_gain,A VCA Gain,"(-48.0, 48.0, None)"
171,fx_g4_param_1,FX G4 Param 1,"(None, None, None)"
172,a_scene_lfo_3_phase,A Scene LFO 3 Phase,"(0.0, 100.0, 0.1)"
173,b_portamento,B Portamento,"(None, None, None)"
174,a_scene_lfo_5_attack,A Scene LFO 5 Attack,"(None, None, None)"
175,b_scene_lfo_1_decay,B Scene LFO 1 Decay,"(None, None, None)"
176,a_scene_lfo_4_amplitude,A Scene LFO 4 Amplitude,"(0.0, 100.0, 0.1)"
